08/09/20223;318h332,0m3;3299,2°;322h340,1m3;3322,8°S;332h332,7m3;3355,5°;33;
09/09/20223;318h325,1m3;3290,1°;323h333,2m3;3328,8°S;333h329,7m3;3364,2°;33;
10/09/20223;318h344,1m3;3280,3°;33333333333;33333333;334h354,7m3;3374,1°;PL;
11/09/20223;319h331,0m3;3270,5°;330h322,9m3;3335,4°S;336h316,3m3;3384,4°;33;
12/09/20223;319h317,3m3;3260,9°;331h310,2m3;3342,0°S;337h335,0m3;3394,6°;33;
13/09/20223;319h334,5m3;3251,8°;331h356,3m3;3348,4°S;338h351,6m3;3104,3°;33;
14/09/20223;319h353,8m3;3243,7°;332h342,4m3;3354,3°S;310h336,9m3;3113,2°;33;
15/09/20223;320h316,9m3;3236,6°;333h329,2m3;3359,4°S;311h320,7m3;3121,0°;33;
16/09/20223;320h345,7m3;3231,1°;334h317,3m3;3363,4°S;312h332,0m3;3127,2°;33;
17/09/20223;321h322,4m3;3227,5°;335h336,9m3;3366,3°S;313h338,5m3;3131,6°;DQ;
18/09/20223;322h338,5m3;3226,3°;335h357,6m3;3367,9°S;314h337,3m3;3133,6°;33;
19/09/20223;323h334,2m3;3227,5°;336h348,7m3;3368,1°S;315h326,4m3;3133,1°;33;
20/09/20223;33333333333;3333333;337h339,2m3;3366,9°S;316h335,6m3;3130,3°;33;
21/09/20223;330h337,8m3;3231,1°;338h328,5m3;3364,5°S;316h336,1m3;3125,4°;33;
22/09/20223;331h316,3m3;3236,7°;339h315,9m3;3360,9°S;317h330,2m3;3119,0°;33;
